,0,1,2,3,4,5,Coach,URL,TM,Season
679,46,us US,"Dec 25, 1962",Bullpen,Apr 6,Oct 4,Bruce Walton,/players/w/waltobr01.shtml,TOR,2009
680,54,us US,"Mar 18, 1955",First base,Apr 6,Oct 4,Dwayne Murphy,/players/m/murphdw01.shtml,TOR,2009
681,55,us US,"Aug 16, 1953",Third base,Apr 6,Oct 4,Nick Leyva,/managers/leyvani99.shtml,TOR,2009
682,46,us US,"Jun 8, 1962",Manager,Apr 1,Jun 19,John Gibbons,/managers/gibbojo02.shtml,TOR,2008
683,64,us US,"Mar 17, 1944",Manager,Jun 20,Sep 28,Cito Gaston,/players/g/gastoci01.shtml,TOR,2008
684,51,us US,"Mar 9, 1957",Bench,Apr 1,Sep 28,Brian Butterfield,/register/player.fcgi?id=butter001bri,TOR,2008
685,47,us US,"Dec 9, 1960",Hitting,Apr 1,Jun 19,Gary Denbo,/register/player.fcgi?id=denbo-001gar,TOR,2008
686,61,us US,"Oct 10, 1946",Hitting,Jun 20,Sep 28,Gene Tenace,/players/t/tenacge01.shtml,TOR,2008
687,44,us US,"Aug 20, 1963",Pitching,Apr 1,Sep 28,Brad Arnsberg,/players/a/arnsbbr01.shtml,TOR,2008
688,45,us US,"Dec 25, 1962",Bullpen,Apr 1,Sep 28,Bruce Walton,/players/w/waltobr01.shtml,TOR,2008
689,56,us US,"Jun 13, 1952",First base,Apr 1,Jun 19,Ernie Whitt,/players/w/whitter01.shtml,TOR,2008
690,53,us US,"Mar 18, 1955",First base,Jun 20,Sep 28,Dwayne Murphy,/players/m/murphdw01.shtml,TOR,2008
691,45,us US,"Dec 25, 1962",Third base,Apr 1,Jun 19,Marty Pevey,/players/p/peveyma01.shtml,TOR,2008
692,54,us US,"Aug 16, 1953",Third base,Jun 20,Sep 28,Nick Leyva,/managers/leyvani99.shtml,TOR,2008
693,45,us US,"Jun 8, 1962",Manager,Apr 2,Sep 30,John Gibbons,/managers/gibbojo02.shtml,TOR,2007
694,55,us US,"Jun 13, 1952",Bench,Apr 2,Sep 30,Ernie Whitt,/players/w/whitter01.shtml,TOR,2007
